"","X","eval_sigma0_est","eval_sigma0_lower","eval_sigma0_upper","eval_shape_est","eval_shape_lower","eval_shape_upper","rp_value","attr_PR_est","attr_PR_lower","attr_PR_upper","attr_dI.abs_est","attr_dI.abs_lower","attr_dI.abs_upper","attr_dI.rel_est","attr_dI.rel_lower","attr_dI.rel_upper","proj_PR_est","proj_PR_lower","proj_PR_upper","proj_dI.abs_est","proj_dI.abs_lower","proj_dI.abs_upper","proj_dI.rel_est","proj_dI.rel_lower","proj_dI.rel_upper","aic_eval","aic_attr","aic_proj","attr_nobs","attr_nsamp","attr_nfailed","proj_nobs","proj_nsamp","proj_nfailed"
"SAM-22_HadGEM2-ES_r1i1p1_RegCM4-7",x ~ gmst (rp5),0.758405103869509,0.518737132318963,0.944779682768515,0.0110406000889397,-0.32335251309513,0.337316380476698,7.28182425206601,2.76692199134339,1.47824392414674,9.94509868892884,0.86330562769398,0.340257294522835,1.46684307025089,13.4502317157091,5.26007455994847,23.6959885545766,1.68559965833482,1.38775504194926,2.25724323762762,0.591086673914756,0.391277629440025,0.895491376697182,7.43251073702554,5.09235321013068,10.5550405967887,134.056551023537,158.740695102356,313.194470534372,56,1000,0,100,1000,0
"SAM-22_HadGEM2-ES_r1i1p1_REMO2015",x ~ gmst (rp5),0.601054100661684,0.421708303746579,0.740810323115704,-0.0250897992425362,-0.440776998873744,0.41046552947417,5.06090758224799,2.07371421315986,0.957032487238899,4.01744819623691,0.515306656768397,-0.0284052224653381,0.888460486255448,11.336381376551,-0.55740666572479,20.599910544254,1.66760734689961,1.39622520249407,2.10694668621117,0.375593235022963,0.247006156038976,0.526607701958885,6.9678943381919,4.66482593151984,9.49210793909111,109.312811729313,127.931421636793,232.60676537542,56,1000,0,100,1000,0
"SAM-22_MPI-ESM-LR_r1i1p1_REMO2015",x ~ gmst (rp5),0.507982909148021,0.384816763841653,0.619672110249882,-0.00494765701775613,-0.199433183599769,0.218240441852511,4.45675938068474,6.61746363436866,2.28601190305533,41.7524322047608,0.858277348901667,0.465981550363834,1.237451404763,23.8510944704199,12.4239264920707,36.7197467311937,2.18151087824687,1.63157001574818,2.95893412024025,0.522706398994083,0.326917006603201,0.732996571960039,10.668602763299,6.99015441092979,14.1843536111631,94.5899864099699,102.909951581445,208.62490171679,56,1000,0,100,1000,0
"SAM-22_MPI-ESM-MR_r1i1p1_RegCM4-7",x ~ gmst (rp5),0.943430787729666,0.709045606670337,1.13207843110004,-0.379378645252075,-0.734739698339919,-0.0104625582510901,6.13393033987019,20.0107389162227,2.19789361766229,Inf,1.28344886874026,0.462419627986564,2.19393083389873,26.4602365018678,8.9086978008085,51.1305223335931,2.32060722879005,1.78147118783404,3.31109045033608,0.991284664715438,0.669427863751315,1.39331860053802,13.606199436839,9.6227744093841,18.077160745727,133.952112963625,160.464834112353,324.408323799471,56,1000,0,100,1000,0
"SAM-22_NorESM1-M_r1i1p1_RegCM4-7",x ~ gmst (rp5),0.580957517608084,0.41928166882507,0.708186327251945,-0.0401771654523583,-0.29351982868196,0.237028260229547,5.68672776759452,2.69529886833854,0.775133930863051,31.6046875971965,0.525222147705221,-0.158396186190592,1.1987317294845,10.1757546418497,-2.91377871796961,24.7231396537191,2.26402374953649,1.58476214159596,3.1298670496799,0.659914543112331,0.363373800283808,0.965492000090732,9.98964984852295,5.73627049241399,13.8713211242371,105.490605419862,119.698977400306,249.583023560935,56,1000,0,100,1000,0
"SAM-22_NorESM1-M_r1i1p1_REMO2015",x ~ gmst (rp5),0.367191032465771,0.264612672653497,0.448142107499797,0.00210217883327641,-0.311072840987968,0.37183861737643,4.21343390612314,5.72127702435684,1.54037025718573,1429.91273698635,0.588451780407573,0.164192069549911,1.07928318459174,16.2332326063929,4.26479657717368,31.9554982264315,3.1477460787412,2.20817741384453,4.03763417211093,0.694809042655177,0.443172698395292,0.939074427004046,13.5642255311794,9.25265333496475,17.2716680837333,64.055492690843,77.8708972194524,178.33353247559,56,1000,0,100,1000,0
"SAM-44_CanESM2_r1i1p1_RCA4",x ~ gmst (rp5),0.420173339945452,0.309430940662704,0.542140357135208,0.15430317165323,-0.153832926220481,0.422813799480518,3.53712071790478,2.58209515021529,1.754243513378,4.93607516071685,0.510034272591797,0.325108636853734,0.730741412544122,16.8490157716346,10.5487965631693,24.1515375890719,2.43332970306734,1.78687307997043,3.29340621021549,0.681731944576929,0.477213418122319,0.894082738862541,14.3927974008887,11.0132445990501,17.6903186431658,84.9693960150878,122.913602980424,271.819721201264,75,1000,0,119,1000,0
"SAM-44_CNRM-CM5_r1i1p1_RCA4",x ~ gmst (rp5),0.367798379450264,0.260703272051734,0.47801192625754,0.322929518966997,0.051346928246022,0.716159250911489,2.96751279050826,1.12587052033981,0.733314348315118,1.88377619879251,0.0755680310764348,-0.178690364480561,0.368601349046656,2.61305237003495,-6.03027331164141,13.1856635484379,1.35157066706942,1.16516482282217,1.70019780519598,0.194341173067422,0.106825921436246,0.310518737467424,5.92478408044548,3.42121908589574,9.00199401152526,81.0099919564545,118.242512628963,197.182136462275,75,1000,0,119,1000,0
"SAM-44_CSIRO-Mk3-6-0_r1i1p1_RCA4",x ~ gmst (rp5),0.613849362032914,0.436855855539356,0.743836755862889,0.085695587237652,-0.134265678402246,0.408081654898784,3.39976153892165,1.18563678510543,0.57960938434195,3.91014516143689,0.130446883011546,-0.462953819769444,0.923126411476698,3.99003756875254,-12.6979214808627,31.4915029114294,1.44871771295398,1.22326976601852,1.94683357573021,0.320935539678904,0.186213219296328,0.524339561328182,7.94059996942073,4.89882152376817,12.0740721365506,117.359755995448,164.547643337187,290.137012291696,75,1000,0,119,1000,0
"SAM-44_EC-EARTH_r12i1p1_RCA4",x ~ gmst (rp5),0.377087224026888,0.259188539546747,0.53250397024295,0.272376958214906,-0.117800749807602,0.674381523494606,2.93975573578,1.67585666204185,1.22869415528594,2.8337056535205,0.325373760036165,0.12658322569949,0.570091095195081,12.445532560084,4.79114681836857,21.8981745911616,1.56019390525395,1.29777857992305,2.17561369500374,0.32046865822164,0.210690883559943,0.520327107551346,9.01465668380129,6.21437114863257,13.6630553277476,80.8042190320328,110.986936899524,235.987231357048,75,1000,0,119,1000,0
"SAM-44_GFDL-ESM2M_r1i1p1_RCA4",x ~ gmst (rp5),0.476486796764849,0.367470812423634,0.589726402035818,0.0244703814606186,-0.186697082048953,0.211406088448736,3.39700187231758,1.97704836038947,1.12174428273187,5.56390303161289,0.461569995960589,0.0728696781207944,0.851985731638802,15.7240915613896,2.17747760252851,30.9849290033047,1.45395704906249,1.25417533166649,1.73950507138562,0.295364384943851,0.183046637339211,0.421192315072417,8.02258623570791,5.08284765623542,11.0299458483672,89.8473507556968,147.603150638534,251.327808304881,75,1000,0,119,1000,0
"SAM-44_HadGEM2-ES_r1i1p1_RCA4",x ~ gmst (rp5),0.564277383375542,0.384138069264506,0.845097053203029,0.159353661915739,-0.506084583018132,0.585889111056363,4.26892692270492,2.96752558618182,1.83490027659543,6.36525307860141,0.833173948014589,0.565789225413315,1.13886602265464,24.2501121050382,16.3011202770406,33.8770919049647,1.50973566193979,1.29268362615082,1.89102393660449,0.379275025152356,0.263576280733843,0.524252419707635,8.40017847595402,5.98422063067241,11.2476532867543,113.571451879315,159.949126543615,306.675448452136,75,1000,0,119,1000,0
"SAM-44_IPSL-CM5A-MR_r1i1p1_RCA4",x ~ gmst (rp5),0.557610785972972,0.40877145510676,0.697524152432822,0.223355718170914,0.014142167039836,0.587939528048513,3.53385711133542,1.63551022145209,1.2087818367702,2.55935989110986,0.396499055695414,0.16099798950718,0.692514782402972,12.6379918601459,4.88754750611426,22.7670213265218,1.74728997887701,1.48044282952888,2.29571478371094,0.550996724622324,0.429831993411,0.740611172423376,12.2126088028125,9.92547619194125,15.4644380893887,115.791500911524,164.89874917494,309.987149536258,75,1000,0,119,1000,0
"SAM-44_MIROC5_r1i1p1_RCA4",x ~ gmst (rp5),0.337020982120931,0.226275098193852,0.452271325385111,0.330486315123207,-0.0118240389569926,0.661568917089812,2.91418924259435,1.22972676625367,0.849077694135418,2.04137795836083,0.122555726830677,-0.0878412787921718,0.380486524394781,4.39010801878665,-3.14474986902327,14.0966489712665,1.39954584312368,1.16899064233701,1.89844611808833,0.238636789962766,0.124973270764501,0.385783107536285,6.94961873116791,3.83348884091851,10.6465275179982,73.0795101696842,110.870778296239,224.337607174737,75,1000,0,119,1000,0
"SAM-44_MPI-ESM-LR_r1i1p1_RCA4",x ~ gmst (rp5),0.391496514363547,0.255524207493539,0.550722365939886,0.434133282464858,0.136706619563345,0.878962875695296,2.99844006574414,1.6956919122269,1.36114964949254,2.57935222442692,0.363429755595714,0.224243128358829,0.548809972002492,13.7923466255903,8.54167564576234,21.0849269196815,1.41300192251279,1.13917349260964,1.94148222934245,0.257307226845751,0.112370329001641,0.432865242076738,7.44162302321028,3.49504576124065,11.8779506972394,92.6114449731825,113.238252884152,245.133016708664,75,1000,0,119,1000,0
"SAM-44_NorESM1-M_r1i1p1_RCA4",x ~ gmst (rp5),0.38444820837002,0.266927303325747,0.471353739674238,0.145597939413667,-0.172675318003025,0.548192661686704,3.13007614811949,1.36117091462253,0.679426593945488,2.68042898329086,0.162837116781996,-0.173857987168412,0.539544666182718,5.48783279884926,-5.58353625931744,18.9458103965164,1.38584252387281,1.10460799196447,1.86760100749522,0.202884947075686,0.0658267793547563,0.373511926010228,5.74342777298085,1.94690106224993,9.96703714880023,75.8474098878715,119.003385896535,223.224839536762,75,1000,0,119,1000,0
